Drug name,Drug target,Target Pathway,Feature Name,ic50_effect_size
Erlotinib,EGFR,EGFR signaling,ASXL1_mut,0.5614961580868103
Erlotinib,EGFR,EGFR signaling,CREBBP_mut,0.1619658558186656
Erlotinib,EGFR,EGFR signaling,KRAS_mut,1.0870960250282935
Erlotinib,EGFR,EGFR signaling,NRAS_mut,0.7098694090406745
Erlotinib,EGFR,EGFR signaling,SACS_mut,0.3029901444050169
Erlotinib,EGFR,EGFR signaling,TP53_mut,0.6623041942638425
Rapamycin,MTORC1,PI3K/MTOR signaling,ASXL1_mut,0.12021163430457482
Rapamycin,MTORC1,PI3K/MTOR signaling,CREBBP_mut,0.4349064656283177
Rapamycin,MTORC1,PI3K/MTOR signaling,KRAS_mut,0.6162545712891745
Rapamycin,MTORC1,PI3K/MTOR signaling,NRAS_mut,1.5209449339427454
Rapamycin,MTORC1,PI3K/MTOR signaling,SACS_mut,0.30984569989586885
Rapamycin,MTORC1,PI3K/MTOR signaling,TP53_mut,0.926580543158251
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,ASXL1_mut,0.3687822050824013
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,CREBBP_mut,0.6269860893182315
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,KRAS_mut,0.14779679792430003
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,NRAS_mut,1.0750464994189124
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,SACS_mut,0.4894091675977074
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,TP53_mut,0.659793514427878
PHA-665752,MET,RTK signaling,ASXL1_mut,0.1471574568245594
PHA-665752,MET,RTK signaling,CREBBP_mut,0.23497701576571475
PHA-665752,MET,RTK signaling,KRAS_mut,0.6392194235680568
PHA-665752,MET,RTK signaling,NRAS_mut,1.501563879137305
PHA-665752,MET,RTK signaling,SACS_mut,0.7121972584899353
PHA-665752,MET,RTK signaling,TP53_mut,0.8874266173812626
MG-132,"Proteasome, CAPN1",Protein stability and degradation,ASXL1_mut,0.9825962284837639
MG-132,"Proteasome, CAPN1",Protein stability and degradation,CREBBP_mut,0.5421775925706852
MG-132,"Proteasome, CAPN1",Protein stability and degradation,KRAS_mut,0.16255293069177607
MG-132,"Proteasome, CAPN1",Protein stability and degradation,NRAS_mut,0.9662779768758116
