Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Erlotinib","1","EGFR","EGFR signaling","ASXL1_mut","5","20",".56476743392783713","2.9961854026066059","2.5835346425395951","","",".28034445308451716",".41265076006701085",".69118707270663537",".73869667691430507",".29294922062050927","",".79229665526371829","0","LAML","GDSC1"
"Erlotinib","1","EGFR","EGFR signaling","CREBBP_mut","3","22",".17972877940350068","2.5475608093113231","2.6822244289041346","","",".55735094770008242","-.13466361959281148",".25231153966276593",".78025230819703206",".83641531874394126","",".79724860857323587","0","LAML","GDSC1"
"Erlotinib","1","EGFR","EGFR signaling","KRAS_mut","3","22","1.1383678371330936","3.3676652127106057","2.5703920102587774","","",".082684102096415663",".79727320245182831",".49302306509002647",".71699168435582561",".087293069753362137","",".78356821357147721","0","LAML","GDSC1"
"Erlotinib","1","EGFR","EGFR signaling","NRAS_mut","7","18",".70642712940314545","3.0285589024621551","2.5250948636994357","","",".03472752704009336",".50346403876271939",".31375094433238382",".80774583009672096",".12019029697999688","",".78604546559335597","0","LAML","GDSC1"
"Erlotinib","1","EGFR","EGFR signaling","SACS_mut","3","22",".32610745995137169","2.4519507745460705","2.695262160917578","","",".20168612829858351","-.24331138637150751",".13836474011420127",".77966063943844932",".61136696353765774","",".79625389914585232","0","LAML","GDSC1"
"Erlotinib","1","EGFR","EGFR signaling","TP53_mut","12","13",".66055960939248626","2.9098777797974424","2.4410066543273556","","",".10805586042647859",".4688711254700868",".5118479293996514",".85177216973182246",".11940782990580999","",".78599590853695511","0","LAML","GDSC1"
"Rapamycin","3","MTORC1","PI3K/MTOR signaling","ASXL1_mut","5","20",".14273975986016399","-2.1814274943770573","-1.9633946140909706","","",".72989829569684095","-.21803288028608669","1.1085102426292119","1.6017864820966066",".84913522807773589","",".54356374657496553","0","LAML","GDSC1"
"Rapamycin","3","MTORC1","PI3K/MTOR signaling","CREBBP_mut","3","22",".49093882104137349","-1.3548784037974875","-2.0959270246505559","","",".31594482218086301",".74104862085306844",".94737871468031154","1.552405123203304",".551094893462999","",".54059196589766589","0","LAML","GDSC1"
"Rapamycin","3","MTORC1","PI3K/MTOR signaling","KRAS_mut","3","22",".62812385745699029","-2.8342867595820955","-1.8941895215890185","","",".16343681314941083","-.94009723799307698",".79397848854121134","1.5470405174122517",".35669786045149021","",".53596532191964286","0","LAML","GDSC1"
"Rapamycin","3","MTORC1","PI3K/MTOR signaling","NRAS_mut","7","18","1.5499908265385764","-.62482061251970633","-2.5445158592259305","","",".000067381143944800209","1.9196952467062243",".57444792487042229","1.3995905078618935",".0030059709566760111","",".45743705509034582","0","LAML","GDSC1"
"Rapamycin","3","MTORC1","PI3K/MTOR signaling","SACS_mut","3","22",".36657098019963724","-1.5171522302081588","-2.0737987755945557","","",".49933373486858962",".55664654538639691","1.1288122354995214","1.550538456548592",".88147359402214909","",".5436933605801656","0","LAML","GDSC1"
"Rapamycin","3","MTORC1","PI3K/MTOR signaling","TP53_mut","12","13",".92218748326781796","-1.345566273004102","-2.6175564982811892","","",".029175282275901687","1.2719902252770872","1.0874377840606262","1.6007866988484021",".033555887084290269","",".50066774982709261","0","LAML","GDSC1"
